date,water_level
2024-12-02,59.92
2024-12-01,59.57
2024-11-30,60.19
2024-11-29,60.88
2024-11-28,61.11
2024-11-27,60.3
2024-11-26,59.87
2024-11-25,59.47
2024-11-24,59.27
2024-11-23,59.42
2024-11-22,58.99
2024-11-21,59.06
2024-11-20,59.12
2024-11-19,59.29
2024-11-18,59.96
2024-11-17,60.38
2024-11-16,60.3
2024-11-15,59.57
2024-11-14,59.95
2024-11-13,60.65
2024-11-12,60.26
2024-11-11,60.5
2024-11-10,60.49
2024-11-09,60.14
2024-11-08,59.74
2024-11-07,59.19
2024-11-06,59.1
2024-11-05,60.1
2024-11-04,60.88
2024-11-03,60.15
